asin,sale_price,mrp,product_url,full_title,product_image,product_price,brand,operating_system,ram_memory_installed_size,cpu_model,cpu_speed,memory_storage_capacity,screen_size
B0FHB6HZYM,"₹26,999",,https://www.amazon.in/dp/B0FHB6HZYM,"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu",https://m.media-amazon.com/images/I/61IOl0PvbFL._SX679_.jpg,"₹26,999.00",iQOO,Funtouch OS 15 Based On Android 15,12 GB,Others,2.6 GHz,,
B0FN7QTRPY,"₹9,999","₹10,999",https://www.amazon.in/dp/B0FN7QTRPY,"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",https://m.media-amazon.com/images/I/610lbucItmL._SX679_.jpg,"₹9,999.00",Samsung,Android 15.0,4 GB,MediaTek Helio,2.2 GHz,,
B0H1MSTN4C,"₹12,999","₹13,999",https://www.amazon.in/dp/B0H1MSTN4C,"realme C71 4G Smartphone 4GB+64GB Dune Gold,6.745 inch Screen, 90Hz Eye Comfort Display, 6300mAh Battery, 37MP Cameras, Unisoc T7250 Chip, IP54",https://m.media-amazon.com/images/I/61ZV-bOKaAL._SX679_.jpg,"₹12,999.00",realme,Android 14,4 GB,Others,2.8 GHz,,
B0H1JG89ZB,"₹14,999","₹27,999",https://www.amazon.in/dp/B0H1JG89ZB,"iQOO Z10 Lite 5G (Titanium Blue 2026, 4GB RAM, 64GB Storage)",https://m.media-amazon.com/images/I/613RKG4NCgL._SX679_.jpg,"₹14,999.00",iQOO,Funtouch OS 15 Based On Android 15,4 GB,Others,2.4 GHz,,
B0FN7TJYDK,"₹14,499","₹16,499",https://www.amazon.in/dp/B0FN7TJYDK,"Samsung Galaxy M17 5G Mobile (Moonlight Silver, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus| IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-free Gaming | Without Charger",https://m.media-amazon.com/images/I/71iOhPwpVoL._SX679_.jpg,"₹14,499.00",Samsung,Android 15.0,4 GB,,2.4 GHz,128 GB,
B0H1B6WTN3,"₹11,499","₹16,999",https://www.amazon.in/dp/B0H1B6WTN3,"realme NARZO 80 Lite 4G (Beach Gold 2026, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist",https://m.media-amazon.com/images/I/71RiAp+yw5L._SX679_.jpg,"₹11,499.00",realme,Android 15,4 GB,Others,1.8 GHz,,
B0GZGBXWJZ,"₹18,999","₹33,999",https://www.amazon.in/dp/B0GZGBXWJZ,"realme NARZO 90x 5G (Flash Blue 2026, 6GB+128GB) | 7000mAh + 60W Biggest Battery & Fastest Charging in the Segment* | 144Hz Bright Display | Sony 50MP AI Rear Camera | 400% Ultra Boom Speaker",https://m.media-amazon.com/images/I/81RhiMu3iJL._SX679_.jpg,"₹18,999.00",realme,Android 15,6 GB,Mediatek Dimensity 900,2.4 GHz,,
B0GWLHVJRH,"₹33,999","₹40,999",https://www.amazon.in/dp/B0GWLHVJRH,"OnePlus Nord CE6 | 8GB+128GB | Pitch Black | Snapdragon 7s Gen 4 | Segment's Fastest Touch Response | 8000mAh Battery | 144Hz 1.5K AMOLED Display | 50MP Main + 32MP Selfie 4K Cameras | IP66,68,69,69K",https://m.media-amazon.com/images/I/61Di24QT6GL._SX679_.jpg,"₹33,999.00",OnePlus,OxygenOS 16,8 GB,Snapdragon,2.7 GHz,,
B0GP7BD27Q,"₹22,999","₹28,999",https://www.amazon.in/dp/B0GP7BD27Q,"iQOO Z11x 5G (Titan Black, 6GB RAM, 128 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery | 4K Video Recording Front & Back | IP68 & IP69+ | Powered by OriginOS 6",https://m.media-amazon.com/images/I/618IOq-RikL._SX679_.jpg,"₹22,999.00",iQOO,OriginOS 6.0 based on Android 16,6 GB,Mediatek Dimensity 7400,2.6 GHz,,
B0GS5M4VMH,"₹13,999","₹16,999",https://www.amazon.in/dp/B0GS5M4VMH,"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",https://m.media-amazon.com/images/I/71AjkPyeFiL._SX679_.jpg,"₹13,999.00",Redmi,"Android 16, Xiaomi HyperOS",4 GB,,,128 GB,17.53 Centimetres
B0GS5Y6BD3,"₹13,999","₹16,999",https://www.amazon.in/dp/B0GS5Y6BD3,"REDMI A7 Pro 5G (Mist Blue, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",https://m.media-amazon.com/images/I/71eQsL8sqcL._SX679_.jpg,"₹13,999.00",Redmi,"Android 16, Xiaomi HyperOS",4 GB,,,128 GB,6.9 Inches
